frame,blueDist,blueAngle,yellowDist,yellowAngle,pinkDist,pinkAngle,greenDist,greenAngle
0.0,1.4142135623730951,-44.99999713521117,0.3809327164100918,43.98610964426901,0.7724418234674765,42.02357736285877,1.1422976636954114,34.995861399508826
1.0,1.4142135623730951,-44.99999713521117,0.38073637130155685,43.83806318526155,0.7727257416425847,41.507901154733624,1.138468457234081,34.05819830467573
2.0,1.4142135623730951,-44.99999713521117,0.3802851194635847,43.52797917641167,0.7710067638619275,41.02892183290359,1.1372634825428938,33.065831888187134
3.0,1.4142135623730951,-44.99999713521117,0.3795418889920705,43.25033386588742,0.7709699719604992,40.507649676943956,1.1325775753291991,32.04326257422864
4.0,1.4142135623730951,-44.99999713521117,0.3802037290196365,42.92565724676457,0.7709969978575262,39.986370918792566,1.1301102383615533,30.971825245132862
5.0,1.4142135623730951,-44.99999713521117,0.38051577702754913,42.70340359704613,0.7708144403671027,39.300494568270715,1.1276460944022622,29.96175509065399
6.0,1.4142135623730951,-44.99999713521117,0.37984696038858046,42.36458901108134,0.770742383750312,38.61439162960913,1.12404143772356,28.88286070678376
7.0,1.4142135623730951,-44.99999713521117,0.37959236860862866,42.207122592895765,0.7701707280912129,37.88808193322698,1.1208378230799225,27.797412047869443
8.0,1.4142135623730951,-44.99999713521117,0.3809282579671486,41.74162930859014,0.7697230061377921,37.160810303305425,1.1182539336239232,26.667054937422332
9.0,1.4142135623730951,-44.99999713521117,0.3814252318021381,41.51624421417885,0.7693994342452198,36.43280957337878,1.1142438751124022,25.531526274763586
10.0,0.01713954395093386,-27.800641301925616,0.3797905916095643,41.05282962199378,0.7692001690884779,35.70431398511116,1.1106745305888295,24.38824757815096
11.0,0.012879849687903632,-44.58632001688455,0.3811289297993178,40.52914259191852,0.7677921080315909,34.75760423627565,1.107550160979186,23.23805831117614
12.0,0.0074759514313587835,-38.86901913447873,0.3801045938155729,39.908593599240604,0.7670978012505996,33.834613130377285,1.1048745411966083,22.081830361750566
13.0,0.004617080574897448,-51.6591216216973,0.38017618989888274,39.60255671293112,0.7666028925066032,32.91019008525052,1.1019397775797333,20.914122415712207
14.0,0.0044898955399291845,-51.337160317338274,0.3799635810122709,38.964760088530845,0.7658945336612043,31.895904605039323,1.0994650464584972,19.74066841258382
15.0,0.004362860521256444,-50.99643873253777,0.38040313055370545,38.4629053382759,0.7648814632954986,30.791607894872563,1.097453459923908,18.562416733524024
16.0,0.004235989015623074,-50.6352943074636,0.3794968866129888,37.97223377965587,0.7645869608080968,29.756188198067658,1.0959075683457005,17.38033973504941
17.0,0.004109296168092655,-50.251865557177545,0.38052459824246365,37.27936083143215,0.7623075829830345,28.640719839171503,1.094829344399972,16.195429101681146
18.0,0.003982799028045971,-49.84406200632344,0.3791470202757298,36.648429639458534,0.7623658614453855,27.365027031311765,1.0942201705802246,15.008690956981724
19.0,0.00385651685366293,-49.40952863052786,0.38025427837517717,35.67039708159709,0.7603903950739902,26.27053869198716,1.09202295671163,13.860892187219454
20.0,0.0037304714757586425,-48.94560363051793,0.37960760859888854,35.014341540759,0.758376920742885,25.03106463652739,1.0926571991268081,12.661830700716049
21.0,0.0036046877346578464,-48.449268079635985,0.38012588435342476,34.25928162885381,0.757947203202389,23.749470539123276,1.0923587408704771,11.531753835775682
22.0,0.0034791940074413797,-47.91708562361262,0.3798366598839143,33.33862483772285,0.7578970281005795,22.467064817105133,1.0924853666475711,10.401499203519753
23.0,0.0033540228476442507,-47.345129951174236,0.3799873559075167,32.638345552292606,0.7561248155484233,21.119184920116677,1.0930369287231223,9.27194594285458
24.0,0.003229211765695212,-46.728897167217895,0.3795580564762618,31.865000378072047,0.7533691402572754,19.721700401726753,1.0940419977969287,8.11492604705478
25.0,0.003104804186574201,-46.06319945130511,0.3801904859233074,31.20370106611233,0.7510647820167529,18.314798943156315,1.094981769102901,7.04989535427873
26.0,0.0029808506320031076,-45.34203542822236,0.3799308998722449,30.17689368371125,0.7492159051767355,16.900096830611716,1.0962991588201643,5.987057696199463
27.0,0.0028574101889191476,-44.558431459679525,0.3797667390418083,29.262293673464193,0.7478258880540006,15.479266279576597,1.097430217326019,4.920179528221308
28.0,0.0027345523453107014,-43.70424652337554,0.37967481448765494,28.223810909017644,0.7468972925427906,14.054024101948707,1.0989409216276087,3.8558663423135835
29.0,0.0026123593004849987,-42.76993140971074,0.37925110712102955,27.416910264581997,0.7464318407341582,12.62611957258046,1.1007561316071566,2.8530808697384518
30.0,0.0024909288918988485,-41.74423057905071,0.37989178763336306,26.447750265848367,0.7443259816018573,11.14471252322709,1.1029073517269774,1.8539021210401232
31.0,0.002370378328082402,-40.61381216729404,0.37945883088021487,25.4618594111516,0.7427203340688244,9.655900957793648,1.1038651648592264,0.9716107881588466
32.0,0.0022508489811779533,-39.36280839818121,0.37352107830027464,23.673128692555576,0.7416181471060408,8.161652138611583,1.1068139621539073,0.03778827112217642
33.0,0.0021325125786209997,-37.97224540509928,0.36795891372237954,21.82847529638692,0.7388215916546819,6.500114795683717,1.1072362079288505,-0.799185760275956
34.0,0.0020155792477509005,-36.41933906822054,0.37083916702470776,21.277471416380358,0.7358794037833831,4.920825153302268,1.107894519911375,-1.6353434116916514
35.0,0.0019003080155680244,-34.67663391363372,0.37375318640587896,20.73500997180646,0.7335005467352133,3.3300759130135127,1.1087884776285417,-2.4703303853954917
36.0,0.0017870205505757454,-32.710969527939106,0.3767001882593898,20.200988847967558,0.7316905149993166,1.7302173601217692,1.1099175116940667,-3.303795362394596
