frame,blueDist,blueAngle,yellowDist,yellowAngle,pinkDist,pinkAngle,greenDist,greenAngle
0.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781253118869299,63.27960304788482,1.1705298876634125,62.128312186844134
1.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814217506942408,63.285151672240595,1.1705298876634125,62.128312186844134
2.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814217506942408,63.285151672240595,1.1704843354318395,62.123896645102164
3.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7815156697709614,63.282678059439604,1.1704843354318395,62.123896645102164
4.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7811562567673582,63.27686057393432,1.1706599679842706,62.1403844615198
5.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812038101047531,63.28079765020503,1.1703250870767723,62.114201979599606
6.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7820413416003278,63.223481947462375,1.1703250870767723,62.114201979599606
7.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781343414117848,63.25298607908455,1.1705132118923967,62.09254769485554
8.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781343414117848,63.25298607908455,1.1705132118923967,62.09254769485554
9.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7816183956207976,63.26118664690656,1.1705178523344184,62.09738157763601
10.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7816183956207976,63.26118664690656,1.1705178523344184,62.09738157763601
11.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7815194967851637,63.26523579445942,1.1706577395899742,62.112396729780286
12.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814206018537284,63.26928596693556,1.1706577395899742,62.112396729780286
13.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812340257390733,63.21657332695923,1.1703650383294788,62.13272629796722
14.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812340257390733,63.21657332695923,1.1703650383294788,62.13272629796722
15.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812935652008631,63.21059978411835,1.1704047393627977,62.15292355497227
16.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7813059588505374,63.2021428410352,1.1704384120057716,62.16599863874099
17.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7817663486616994,63.180015113423714,1.1702203730231835,62.23481571087544
18.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814099967387321,63.2392869943691,1.1698398524791125,62.24339650563805
19.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7819544957080521,63.21815516555179,1.1694690383610078,62.26881982389659
20.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7815272027753175,63.261958523868216,1.169177026606697,62.29312672969839
21.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7808998178901322,63.27557709326249,1.1693688411258376,62.291873488742745
22.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7810409300199415,63.264322811375315,1.1690323192882002,62.3026830310918
23.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781323461294,63.268589667462656,1.1690856606138005,62.3185996227804
24.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781323461294,63.268589667462656,1.1690856606138005,62.3185996227804
25.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814546599156983,63.24785480965276,1.1691041752121618,62.32278497696495
26.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7813558325069452,63.25185025979634,1.1691041752121618,62.32278497696495
27.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7815172494080426,63.25016787429199,1.169134402255076,62.36637198114048
28.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7815172494080426,63.25016787429199,1.169134402255076,62.36637198114048
29.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814896693226998,63.273538957084924,1.1691829524255628,62.3973837714682
30.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7814896693226998,63.273538957084924,1.1691829524255628,62.3973837714682
31.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7813725044459192,63.27994489000809,1.1693368103216155,62.391343694593
32.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812553493394423,63.28635274424689,1.169467584128242,62.376490078510756
33.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7813776694499609,63.19926875442442,1.1691315377109535,62.351411434859045
34.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7812687339914992,63.20223112949819,1.1691315377109535,62.351411434859045
35.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.781180517874069,63.14200236061852,1.168980696048611,62.312256357839466
36.0,1.4142135623730951,-44.99999713521117,1.4142135623730951,-44.99999713521117,0.7810931651564655,63.08176005393411,1.1694768106957443,62.2846309545699
