frame,blueX,blueY,yellowX,yellowY,pinkX,pinkY,greenX,greenY
0.0,-1.0,-1.0,-0.003218063252700167,-0.3597486425274518,-0.0009628777467082062,-0.7322257147867489,0.37225802328337043,-0.7208915217176854
1.0,-1.0,-1.0,-0.0032358834953701097,-0.3598021111150219,-0.0012417297004430903,-0.7326125806753617,0.37222794474674975,-0.7209644007989253
2.0,-1.0,-1.0,-0.0032358834953701097,-0.3598021111150219,-0.0011347899054496922,-0.7325305347271561,0.3722957439322916,-0.7208190749122529
3.0,-1.0,-1.0,-0.0025908467755799175,-0.3601611332019446,-0.0004987550018625814,-0.7326501441330805,0.37263358712451516,-0.7203544203371718
4.0,-1.0,-1.0,-0.002843798858830366,-0.3598320665185338,-0.0005491662205417536,-0.7325326384694179,0.37267394334593357,-0.7199409026801553
5.0,-1.0,-1.0,-0.002628467870072685,-0.3598099235177919,0.0004287831274167436,-0.7322364902436882,0.37341508152729685,-0.7191929869381058
6.0,-1.0,-1.0,-0.0032565148407135624,-0.35928954204152996,0.0011635445856605752,-0.7324301157472181,0.37420288977671695,-0.7186015995757686
7.0,-1.0,-1.0,-0.002285151804144748,-0.3592971946332439,0.0014907118753731572,-0.7326738511862885,0.3750419240192165,-0.7177742786977175
8.0,-1.0,-1.0,-0.0022029696235634933,-0.35971697373983136,0.0024752999317887436,-0.7326918731576685,0.3752073206026096,-0.7172676514516843
9.0,-1.0,-1.0,-0.0024039673944957745,-0.3594264136613548,0.002569410304795183,-0.7327019517336095,0.3752857825913956,-0.7170449979727381
10.0,-1.0,-1.0,-0.0024007344954286,-0.3592971946332439,0.0028887520924707893,-0.7327990356401989,0.37565399512396475,-0.7166581451833922
11.0,-1.0,-1.0,-0.0019515291957114466,-0.359477825664024,0.004105618969139596,-0.7327136127009903,0.37608800789394914,-0.7157822312649055
12.0,-1.0,-1.0,-0.0019325431182887296,-0.3594968091215934,0.004478138540660291,-0.7326178282416759,0.3764115440668812,-0.7142829153758151
13.0,-1.0,-1.0,-0.0019028654192347505,-0.360008319774321,0.00451390739881577,-0.7325009618222371,0.37707404472928224,-0.712505929086863
14.0,-1.0,-1.0,-0.002395193505536507,-0.3602226394996751,0.004267232484256411,-0.7329007435879984,0.3773827106144468,-0.7121562231985488
15.0,-1.0,-1.0,-0.0028969032867809364,-0.3596350876026817,0.005524219795539533,-0.7326369453117674,0.3777284317057748,-0.7105540361467594
16.0,-1.0,-1.0,-0.002861380694843013,-0.35952305743257695,0.005640761353159456,-0.7326755278924496,0.37826205654085726,-0.7098498274185976
17.0,-1.0,-1.0,-0.0027895940924614285,-0.35992625024743485,0.006715126545096088,-0.7328845371750088,0.3785549142307454,-0.7088358315080256
18.0,-1.0,-1.0,-0.0027528296900228427,-0.3598258731851507,0.006745040030954141,-0.732262961242209,0.3799546573525382,-0.7076070259595183
19.0,-1.0,-1.0,-0.0021790582217920506,-0.3595412942319338,0.0061842001589919,-0.7333461684392928,0.3800822022943412,-0.707014928616916
20.0,-1.0,-1.0,-0.0020979999583094957,-0.35969413647794457,0.006402743087989644,-0.7334365062234366,0.3802569700932636,-0.7068048163760852
21.0,-1.0,-1.0,-0.002257291160539985,-0.3596696966143207,0.007574281261530522,-0.7331866193686369,0.38021619207545154,-0.7067277271904685
22.0,-1.0,-1.0,-0.002416582362770624,-0.35964525675069664,0.007895006331789235,-0.7332918798376159,0.3803405800939354,-0.7064624408375195
23.0,-1.0,-1.0,-0.0025758735650011134,-0.35962081688707276,0.00904356315150752,-0.733077748741705,0.3812468004762865,-0.7069165164446645
24.0,-1.0,-1.0,-0.002735164767231603,-0.3595963770234487,0.009025742908837576,-0.733077748741705,0.3812468004762865,-0.7069165164446645
25.0,-1.0,-1.0,-0.0028944559694620924,-0.35957193715982483,0.009859663197545275,-0.7329612648208592,0.3813935672823161,-0.7070941949006887
26.0,-1.0,-1.0,-0.0030537471716927307,-0.35954749729620084,0.009926812659449615,-0.7329906517161883,0.3813935672823161,-0.7070941949006887
27.0,-1.0,-1.0,-0.00321303837392322,-0.35952305743257695,0.008900681588035754,-0.7328698659960977,0.38114621906543894,-0.7075675683478083
28.0,-1.0,-1.0,-0.00321303837392322,-0.35952305743257695,0.008950013427123671,-0.733005459127475,0.3811314404725397,-0.707729168763658
29.0,-1.0,-1.0,-0.002170121901923376,-0.35937259663328575,0.008814548668562067,-0.7321309494503982,0.38114621906543894,-0.7075675683478083
30.0,-1.0,-1.0,-0.002170121901923376,-0.35937259663328575,0.008600328497636235,-0.7321088247886298,0.38114621906543894,-0.7075675683478083
31.0,-1.0,-1.0,-0.002581813521136094,-0.3593351694079427,0.007203296924088711,-0.7321159717486423,0.38086151697911325,-0.7081578737107006
32.0,-1.0,-1.0,-0.002581813521136094,-0.3593351694079427,0.007168712239659598,-0.7320727415480692,0.3804399511325227,-0.7082637026878625
33.0,-1.0,-1.0,-0.002843798858830366,-0.35963248870813175,0.006922731586245164,-0.7329262609598898,0.3802250471798656,-0.7089615111142245
34.0,-1.0,-1.0,-0.002734637428173271,-0.35969851949264414,0.006678878253772797,-0.7328802772934179,0.37943781267833493,-0.7094325371727184
35.0,-1.0,-1.0,-0.0037112978082702907,-0.3600321447209308,0.006671791550388191,-0.7322666054582564,0.3793353004355486,-0.7097617820061588
36.0,-1.0,-1.0,-0.0037112978082702907,-0.3600321447209308,0.006500345725547666,-0.7322089215266029,0.37839758941560664,-0.709721847581134
37.0,-1.0,-1.0,-0.0032332348236060074,-0.3599360170608242,0.006248127201242695,-0.7319475099367981,0.37760481916389066,-0.7100859338446343
