Angle,Run ,Type,Slope,Interecept,stderr,average,percentage,mid time,,Percentages,,,
225,TotalEnergies,-0.000387842,0.028939104,1.69E-05,,,,,,,,,
226,Yellow,0.000386715,-0.003394834,2.44E-05,,,,,,,,,
226,Pink,-2.74E-05,0.00900734,1.08E-05,,,,,,,,,
226,Green,-0.000815925,0.058555564,1.49E-05,,,,,,,,,
226,TotalEnergies,-0.000456612,0.06416807,3.24E-05,,,,,,,,,
227,Yellow,0.000373573,-0.013214241,3.02E-05,,,,,,,,,
227,Pink,-0.000198711,0.017183692,2.63E-05,,,,,,,,,
227,Green,-0.000707079,0.055851727,1.78E-05,,,,,,,,,
227,TotalEnergies,-0.000532216,0.059821178,4.37E-05,,,,,,,,,
228,Yellow,0.000125083,-0.003463428,2.55E-05,,,,,,,,,
228,Pink,-7.53E-05,0.006927723,2.39E-05,,,,,,,,,
228,Green,-0.000801655,0.06140879,1.73E-05,,,,,,,,,
228,TotalEnergies,-0.000751826,0.064873085,4.17E-05,,,,,,,,,
229,Yellow,-0.000167328,0.013243673,2.71E-05,,,,,,,,,
229,Pink,3.03E-05,0.010739836,1.91E-05,,,,,,,,,
229,Green,-0.000943833,0.089323757,2.70E-05,,,,,,,,,
229,TotalEnergies,-0.001080827,0.113307266,4.85E-05,,,,,,,,,
230,Yellow,5.32E-05,0.008303852,2.38E-05,,,,,,,,,
230,Pink,3.49E-05,0.011234012,1.27E-05,,,,,,,,,
230,Green,-0.000970195,0.090166329,2.40E-05,,,,,,,,,
230,TotalEnergies,-0.000882123,0.109704192,4.15E-05,,,,,,,,,
231,Yellow,7.16E-05,0.00247166,2.96E-05,,,,,,,,,
231,Pink,2.96E-05,0.008691147,2.09E-05,,,,,,,,,
231,Green,-0.001203394,0.093901385,3.25E-05,,,,,,,,,
231,TotalEnergies,-0.001102165,0.105064192,5.33E-05,,,,,,,,,
233,Yellow,4.30E-05,0.001147291,1.95E-05,,,,,,,,,
233,Pink,0.000122046,-0.000177878,2.16E-05,,,,,,,,,
233,Green,-0.001221999,0.109299482,3.27E-05,,,,,,,,,
233,TotalEnergies,-0.001056926,0.110268895,4.34E-05,,,,,,,,,
234,Yellow,6.30E-07,0.001019486,1.88E-05,,,,,,,,,
234,Pink,0.00015282,-0.003146772,2.36E-05,,,,,,,,,
234,Green,-0.001196706,0.108498139,3.37E-05,,,,,,,,,
234,TotalEnergies,-0.001043255,0.106370852,4.38E-05,,,,,,,,,
235,Yellow,-4.40E-05,0.003629859,1.80E-05,,,,,,,,,
235,Pink,9.83E-05,0.000721349,2.09E-05,,,,,,,,,
235,Green,-0.001231061,0.109556017,3.28E-05,,,,,,,,,
235,TotalEnergies,-0.001176726,0.113907224,4.07E-05,,,,,,,,,
